Neuron,x,y,z
IL1VR,44.4332895944959,12.7512802707723,17.7840583235276
AWBR,62.4398218095821,7.68173472959467,10.8244467541773
VD1,103.097282567883,18.5072005211007,20.3209293624407
RICR,75.7930404669485,8.47939066482938,16.2402711862131
M1,79.1278824472672,15.1784997199153,4.66314752295481
VD2,129.832607874559,14.0865671457017,21.75
AS1,121.782756009791,16.1605335326154,21.6756888179678
DA1,117.659584932326,12.6457318060243,21.8119938381663
SMBDL,70.7530744809877,24.9916650597105,20.4285094293029
AIZL,71.9877443486305,28.513870454423,14.1948557001956
AUAL,65.2029673702996,30.9350585963117,16.833790322903
SIADR,60.4493719599882,15.6596417240712,21.0741530625139
IL2VL,45.8040173862074,23.8783715323486,19.2823361252824
SABVR,87.4552446643026,14.0865671457017,24
SMDVL,54.889657772703,29.1869824973125,11.2111056359475
RIS,80.6000829685259,16.3716210442939,24
VA1,98.5225275536781,19.3413688335923,22.3982560332783
I3,29.4825186890108,23.5011924406173,9.35698296971659
SIADL,63.5308073021444,22.7659084632754,17.7938480795164
I2L,24.908277816434,27.1133781217504,20.5133420537536
SABVL,92.0253524614871,15.5406923538968,24
SIAVR,76.9931094467248,13.7546931755361,21.4963304749331
ASEL,66.2665630591747,30.0819444358473,13.5
IL1L,38.937665767329,28.4480691694401,14.0019274890907
AIYL,73.0753846212914,24.5868067928561,21.2971208847117
IL2VR,39.0129630371502,10.503986002322,18.1188570987852
SAAVR,55.5864543098751,10.3717194990294,9.15390138243413
AIBL,60.7398153765467,26.8533359082239,15.8011896515412
IL2R,36.9166093728979,9.56803893150705,14.8239066395437
AVHL,68.3153206306527,28.8391925868262,10.2105900461406
IL2DR,33.1228071845733,13.9696879543036,11.0842185152195
URAVL,44.1397178668024,27.0792570849671,18.069522858468
I2R,24.4809556115214,14.27436867522,16.5537458494916
RIVR,66.5956140083536,11.0126041276707,9.43324953383552
SAADR,60.6346917077785,18.5452460119519,19.4275563693156
AUAR,66.4964461294177,3.31484549220342,16.1492678961902
AWCR,61.6964552619902,4.7386193787335,15.75
,98.0565006004418,13.2699378480149,22.1911170226183
URAVR,45.0778814540467,11.1783167293116,15.75
BAGR,47.9946339640248,9.80300775441997,14.7978122130981
AWAR,62.942848297586,9.10099500331867,13.5
AVHR,66.2873996479974,7.95437593263632,9.36452342997332
IL2DL,35.054003921041,27.7331216392114,9.61046244502515
BAGL,45.4933457992453,29.2510157454502,15
AWAL,62.3798692749304,27.5122583707069,12.3100917537018
ALA,55.2522624224639,19.1784948272507,4.82188074193061
RIAL,56.5507556123419,27.4777329518529,11.5264283464814
AINL,73.8730107797781,28.5096865188847,12.8511865007817
AINR,69.8009128768778,9.26569317995047,9.87072540506311
IL1R,39.4427047905762,11.5406225579021,14.3488685364249
URADR,37.1722666707976,13.8128118560157,10.7616887712352
URADL,40.1506184856522,26.9318040543845,10.6178187953792
AIBR,60.6398012092933,11.027353913624,14.9231963903381
ASHL,63.1731259073952,30.9085353050587,13.5750071936505
RMED,45.7406081121228,18.7187829988466,5.67882464187796
ASHR,63.5116583635173,5.43742774840256,14.1935998724448
RMEV,58.6368643282566,19.4567765412554,20.8700299989531
SAADL,63.9815091605824,20.5262644962798,20.25
NSML,27.9964422809608,26.7309665572765,20.6798657996465
NSMR,26.5587607328913,17.2531485561196,16.1391677285401
RIBR,66.4717191213903,6.82288954286578,15.2852106222565
RIMR,70.005742165962,5.77728024172997,15.75
ASER,65.4356343687775,4.7386193787335,11.25
RIML,66.2067384235647,26.7870061539199,16.6409764130208
MI,27.6283789557061,23.8499792578685,8.25
M3R,33.6526119610856,16.3716210442939,15
RIBL,63.3583126427846,26.34276532906,15
ASKR,60.0734275505836,11.5691991430749,8.97566376006167
AVKL,97.2186567764694,24.6809079482657,21
RIVL,68.5293199675857,24.8722288436117,9.07816091085829
RIPL,42.3773632102559,26.5504975016593,12
AMSOR,10.1091490763107,10.3734750451495,16.5
I1R,11.0479780117994,19.5161522657637,16.5
I1L,14.9739935119442,26.0954622549023,18
CEPDL,56.1971573021257,25.5827875622142,6.75
IL2L,37.5912575773244,30.2822938070324,16.5
AVER,57.1359862376144,11.1424850068599,13.5
AVAR,57.9894684099906,9.2626812625396,15.75
RMDL,58.7576017419328,28.4024921400338,16.5
AWCL,60.5499128497977,31.3930875896423,15
M4,34.0919821247069,23.1048668052938,9.75
AMSOL,14.7179490679635,35.6653656163277,15.75
MCL,26.1546022839831,24.7283311259484,18
MCR,23.5088110810636,18.234467611365,15.75
RID,52.4418374055274,19.4307057912084,4.5
RIPR,43.8216730732956,12.8513958020698,12.75
URBR,43.3095841853342,10.0316912242501,13.5
URBL,41.7733175214499,30.453186756143,15
RMHL,60.8913061342126,21.9086286254504,18.75
RMHR,61.0620017377592,16.012882123467,18.75
ASJR,65.1587149187723,10.3734750451495,18
M2R,77.1928058631874,11.5697132249928,12.75
ADLR,63.3664017335856,10.8861476605159,9
ASKL,60.293868405817,25.3264502158701,7.5
I4,77.6195459107147,19.6870431375525,7.5
I6,81.374865807313,23.6175394206603,9.75
M5,92.2994301353711,26.8644722166128,9.75
ADLL,63.9638394619811,25.9245693057918,8.25
ASIL,66.3535882982417,26.2663531266911,9.75
AVBL,67.2924172337304,26.8644722166128,14.25
M2L,77.5341970702806,20.7978348428406,16.5
I5,80.4360347945025,13.1077331484138,20.25
,78.8144192901841,10.458919442383,22.5
SIBVL,70.0235593544058,19.0034775730755,21
SIBVR,64.3905815868301,16.012882123467,21.75
AVFL,88.7148079196412,22.9339738561833,23.25
RIFL,100.236809976095,18.4908049577091,21
RIFR,113.977863187941,11.8260484940152,21
RMGL,104.16282547624,29.8550676662213,16.5
RMGR,97.5056678554195,4.2213932741437,17.25
RIAR,57.3920306815951,11.398822353204,9.75
OLQVR,42.9681909009194,12.4241675839369,15
RIGR,118.330620812935,11.398822353204,20.25
AVG,109.283714355854,12.5096140584921,20.25
,112.612292127603,14.9020904181789,23.25
DB1,101.602378959111,14.1330804564684,21.75
SMDDR,51.0762663451897,16.7818920851775,18.75
URYDR,42.3707552498455,13.1931796229691,10.5
URYDL,42.5414508533921,26.3517975239247,9.75
